IAF,2,4,16,18,19,20,24,28,42,47
PH,3.105263,2.0625,3.066667,2.789474,2.823529,2.3,2.294118,2.133333,2.375,2.470588
PA,3.105263,2.25,3.6,3.368421,3.647059,2.1,2.941176,2.066667,2.75,2.588235
PL,3.210526,3,2.6,3.684211,3.470588,2.6,3.411765,2.933333,3.4375,3.058824
BH,2.210526,2.125,2.133333,2.421053,2.705882,1.5,2.294118,2.133333,2.5,1.882353
BA,2.421053,2.1875,2,2.789474,3.235294,1.6,2.235294,2.2,3.125,1.705882
BL,3.368421,2.8125,3.066667,3.315789,3.235294,2.6,2.588235,2.133333,3.9375,2.470588
MBH,2.105263,1.625,1.2,1.684211,1.588235,1.3,1.470588,1.333333,3.125,1.470588
MBA,2,2.25,1.666667,2.105263,2.058824,1.5,1.882353,1.933333,2.6875,2.235294
MBL,2.263158,2.75,2.533333,2.631579,2.352941,1.8,2.764706,2.6,3.0625,2.705882
GBH,1.789474,1.25,1.133333,1.526316,1,1.1,1.352941,1.266667,1.875,1.294118
GBA,1.368421,1.625,1.066667,1.473684,1.176471,1,1.294118,1.2,2.0625,1.352941
GBL,1.842105,1.8125,1.333333,1.736842,1.588235,1.1,1.882353,1.266667,2.9375,1.823529
GNH,2.789474,1.6875,2.933333,2.526316,2.588235,2,2.647059,1.733333,3.1875,2.882353
GNA,3,2.6875,3,3.105263,2.764706,2.4,2.823529,2.066667,3.625,3.529412
GNL,2.894737,2.875,3.266667,3.315789,2.941176,2.4,3.058824,2.533333,3.625,3.470588
SPH,3,2.25,2.466667,2.736842,2.705882,2.3,2.470588,2,3.25,3.058824
SPA,2.894737,2.4375,2.866667,2.736842,3.058824,2.9,2.823529,2.133333,2.875,3.823529
SPL,3.315789,3.1875,3.133333,3.473684,3.647059,3,3.235294,2.533333,3.5625,4
PN,2.894737,4,3.266667,3.578947,3.764706,3.2,4.058824,3.4,3.875,3.823529
OR,3.473684,4.125,3.866667,3.684211,4,4.3,4.705882,3.733333,3.6875,4.117647
